,date,volume
525,2020-06-10,9
526,2020-06-11,7
527,2020-06-12,8
528,2020-06-13,7
529,2020-06-14,8
530,2020-06-15,9
531,2020-06-16,8
532,2020-06-17,12
533,2020-06-18,8
534,2020-06-19,9
535,2020-06-20,7
536,2020-06-21,8
537,2020-06-22,9
538,2020-06-23,8
539,2020-06-24,11
540,2020-06-25,6
541,2020-06-26,12
542,2020-06-27,7
543,2020-06-28,8
544,2020-06-29,8
545,2020-06-30,10
546,2020-07-01,7
547,2020-07-02,8
548,2020-07-03,9
549,2020-07-04,7
550,2020-07-05,7
551,2020-07-06,8
552,2020-07-07,11
553,2020-07-08,7
554,2020-07-09,7
555,2020-07-10,11
556,2020-07-11,7
557,2020-07-12,9
558,2020-07-13,8
559,2020-07-14,8
560,2020-07-15,7
561,2020-07-16,8
562,2020-07-17,9
563,2020-07-18,9
564,2020-07-19,8
565,2020-07-20,7
566,2020-07-21,9
567,2020-07-22,7
568,2020-07-23,7
569,2020-07-24,9
570,2020-07-25,7
571,2020-07-26,9
572,2020-07-27,8
573,2020-07-28,9
574,2020-07-29,7
575,2020-07-30,7
576,2020-07-31,12
577,2020-08-01,7
578,2020-08-02,9
579,2020-08-03,10
580,2020-08-04,7
581,2020-08-05,9
582,2020-08-06,8
583,2020-08-07,9
584,2020-08-08,6
585,2020-08-09,8
586,2020-08-10,9
587,2020-08-11,9
588,2020-08-12,8
589,2020-08-13,13
590,2020-08-14,11
591,2020-08-15,7
592,2020-08-16,8
593,2020-08-17,11
594,2020-08-18,12
595,2020-08-19,8
596,2020-08-20,7
597,2020-08-21,8
598,2020-08-22,6
599,2020-08-23,8
600,2020-08-24,10
601,2020-08-25,8
602,2020-08-26,8
603,2020-08-27,8
604,2020-08-28,10
605,2020-08-29,9
606,2020-08-30,9
607,2020-08-31,8
608,2020-09-01,10
609,2020-09-02,7
610,2020-09-03,7
611,2020-09-04,13
612,2020-09-05,7
613,2020-09-06,8
614,2020-09-07,8
615,2020-09-08,12
616,2020-09-09,8
617,2020-09-10,8
618,2020-09-11,11
619,2020-09-12,7
620,2020-09-13,9
621,2020-09-14,8
622,2020-09-15,18
623,2020-09-16,10
624,2020-09-17,6
625,2020-09-18,9
626,2020-09-19,6
627,2020-09-20,9
628,2020-09-21,8
629,2020-09-22,14
630,2020-09-23,8
631,2020-09-24,7
632,2020-09-25,8
633,2020-09-26,8
634,2020-09-27,9
635,2020-09-28,8
636,2020-09-29,11
637,2020-09-30,13
638,2020-10-01,10
639,2020-10-02,8
640,2020-10-03,6
641,2020-10-04,8
642,2020-10-05,8
643,2020-10-06,9
644,2020-10-07,7
645,2020-10-08,8
646,2020-10-09,9
647,2020-10-10,7
648,2020-10-11,9
649,2020-10-12,9
650,2020-10-13,9
651,2020-10-14,8
652,2020-10-15,8
653,2020-10-16,10
654,2020-10-17,8
655,2020-10-18,7
656,2020-10-19,8
657,2020-10-20,9
658,2020-10-21,7
659,2020-10-22,7
660,2020-10-23,9
661,2020-10-24,8
662,2020-10-25,10
663,2020-10-26,8
664,2020-10-27,10
665,2020-10-28,11
666,2020-10-29,8
667,2020-10-30,10
668,2020-10-31,10
669,2020-11-01,8
670,2020-11-02,7
671,2020-11-03,9
672,2020-11-04,6
673,2020-11-05,6
674,2020-11-06,11
675,2020-11-07,7
676,2020-11-08,8
677,2020-11-09,8
678,2020-11-10,9
679,2020-11-11,8
680,2020-11-12,7
681,2020-11-13,11
682,2020-11-14,7
683,2020-11-15,10
684,2020-11-16,9
685,2020-11-17,6
686,2020-11-18,7
687,2020-11-19,8
688,2020-11-20,9
689,2020-11-21,6
690,2020-11-22,9
691,2020-11-23,9
692,2020-11-24,7
693,2020-11-25,8
694,2020-11-26,7
695,2020-11-27,10
696,2020-11-28,8
697,2020-11-29,8
698,2020-11-30,7
699,2020-12-01,9
700,2020-12-02,9
701,2020-12-03,8
702,2020-12-04,9
703,2020-12-05,7
704,2020-12-06,8
705,2020-12-07,7
706,2020-12-08,8
707,2020-12-09,7
708,2020-12-10,7
709,2020-12-11,9
710,2020-12-12,8
711,2020-12-13,9
712,2020-12-14,8
713,2020-12-15,8
714,2020-12-17,1
715,2020-12-18,3
716,2021-01-01,1
717,2021-01-04,1
718,2021-01-09,3
719,2021-01-10,1
720,2021-01-13,1
721,2021-01-14,1
722,2021-01-17,1
723,2021-01-18,1
724,2021-01-21,1
725,2021-01-22,1
726,2021-01-23,1
727,2021-01-24,1
728,2021-01-25,1
729,2021-01-27,1
730,2021-01-28,2
731,2021-01-30,2
732,2021-02-01,2
733,2021-02-04,2
734,2021-02-05,2
735,2021-02-06,1
736,2021-02-07,1
737,2021-02-08,4
738,2021-02-10,2
739,2021-02-14,1
740,2021-02-18,1
741,2021-02-19,1
742,2021-02-20,2
743,2021-02-21,1
744,2021-02-22,1
745,2021-02-23,1
746,2021-02-24,2
747,2021-02-28,3
748,2021-03-01,1
749,2021-03-02,1
750,2021-03-03,4
751,2021-03-05,2
752,2021-03-06,1
753,2021-03-08,1
754,2021-03-09,3
755,2021-03-11,1
756,2021-03-12,1
757,2021-03-13,3
758,2021-03-14,2
759,2021-03-16,4
760,2021-03-17,3
761,2021-03-18,4
762,2021-03-19,2
763,2021-03-20,2
764,2021-03-21,2
765,2021-03-22,1
766,2021-03-23,8
767,2021-03-24,3
768,2021-03-25,6
769,2021-03-26,3
770,2021-03-27,2
771,2021-03-29,4
772,2021-03-30,1
773,2021-03-31,4
774,2021-04-01,1
775,2021-04-02,2
776,2021-04-03,1
777,2021-04-05,2
778,2021-04-06,5
779,2021-04-07,5
780,2021-04-08,4
781,2021-04-09,4
782,2021-04-10,6
783,2021-04-11,7
784,2021-04-12,28
785,2021-04-13,8
786,2021-04-14,10
787,2021-04-15,8
788,2021-04-16,1
789,2021-04-17,4
790,2021-04-18,2
791,2021-04-19,4
792,2021-04-20,9
793,2021-04-21,6
794,2021-04-22,10
795,2021-04-23,7
796,2021-04-24,2
797,2021-04-25,2
798,2021-04-26,5
799,2021-04-27,3
800,2021-04-28,14
801,2021-04-29,5
802,2021-04-30,5
