date,mev_unscaled,mev_monthly,isPartial,scale,mev
2019-05-06,53,73.0,,0.73,38.69
2019-05-07,51,73.0,,0.73,37.23
2019-05-08,38,73.0,,0.73,27.74
2019-05-09,45,73.0,,0.73,32.85
2019-05-10,53,73.0,,0.73,38.69
2019-05-11,29,73.0,,0.73,21.169999999999998
2019-05-12,28,43.0,False,0.43,12.04
2019-05-13,20,43.0,,0.43,8.6
2019-05-14,42,43.0,,0.43,18.06
2019-05-15,32,43.0,,0.43,13.76
2019-05-16,58,43.0,,0.43,24.94
2019-05-17,0,43.0,,0.43,0.0
2019-05-18,100,43.0,,0.43,43.0
2019-05-19,28,50.0,False,0.5,14.0
2019-05-20,19,50.0,,0.5,9.5
2019-05-21,30,50.0,,0.5,15.0
2019-05-22,36,50.0,,0.5,18.0
2019-05-23,51,50.0,,0.5,25.5
2019-05-24,40,50.0,,0.5,20.0
2019-05-25,20,50.0,,0.5,10.0
2019-05-26,49,47.0,False,0.47,23.029999999999998
2019-05-27,19,47.0,,0.47,8.93
2019-05-28,51,47.0,,0.47,23.97
2019-05-29,18,47.0,,0.47,8.459999999999999
2019-05-30,26,47.0,,0.47,12.219999999999999
2019-05-31,40,47.0,,0.47,18.799999999999997
2019-06-01,37,47.0,,0.47,17.39
2019-06-02,26,43.0,False,0.43,11.18
2019-06-03,30,43.0,,0.43,12.9
2019-06-04,0,43.0,,0.43,0.0
2019-06-05,13,43.0,,0.43,5.59
2019-06-06,62,43.0,,0.43,26.66
2019-06-07,16,43.0,,0.43,6.88
2019-06-08,0,43.0,,0.43,0.0
2019-06-09,39,60.0,False,0.6,23.4
2019-06-10,44,60.0,,0.6,26.4
2019-06-11,21,60.0,,0.6,12.6
2019-06-12,28,60.0,,0.6,16.8
2019-06-13,100,60.0,,0.6,60.0
2019-06-14,20,60.0,,0.6,12.0
2019-06-15,54,60.0,,0.6,32.4
2019-06-16,44,42.0,False,0.42,18.48
2019-06-17,23,42.0,,0.42,9.66
2019-06-18,0,42.0,,0.42,0.0
2019-06-19,43,42.0,,0.42,18.06
2019-06-20,25,42.0,,0.42,10.5
2019-06-21,0,42.0,,0.42,0.0
2019-06-22,83,42.0,,0.42,34.86
2019-06-23,38,46.0,False,0.46,17.48
2019-06-24,20,46.0,,0.46,9.200000000000001
2019-06-25,35,46.0,,0.46,16.1
2019-06-26,39,46.0,,0.46,17.94
2019-06-27,27,46.0,,0.46,12.42
2019-06-28,27,46.0,,0.46,12.42
2019-06-29,17,46.0,,0.46,7.82
2019-06-30,50,50.0,False,0.5,25.0
2019-07-01,42,50.0,,0.5,21.0
2019-07-02,0,50.0,,0.5,0.0
2019-07-03,70,50.0,,0.5,35.0
2019-07-04,52,50.0,,0.5,26.0
2019-07-05,61,50.0,,0.5,30.5
2019-07-06,79,50.0,,0.5,39.5
2019-07-07,42,47.0,False,0.47,19.74
2019-07-08,70,47.0,,0.47,32.9
2019-07-09,25,47.0,,0.47,11.75
2019-07-10,38,47.0,,0.47,17.86
2019-07-11,35,47.0,,0.47,16.45
2019-07-12,40,47.0,,0.47,18.799999999999997
2019-07-13,54,47.0,,0.47,25.38
2019-07-14,0,40.0,False,0.4,0.0
2019-07-15,30,40.0,,0.4,12.0
2019-07-16,42,40.0,,0.4,16.8
2019-07-17,100,40.0,,0.4,40.0
