,date,volume
214,2019-08-03,10
215,2019-08-04,9
216,2019-08-05,18
217,2019-08-06,14
218,2019-08-07,11
219,2019-08-08,14
220,2019-08-09,12
221,2019-08-10,9
222,2019-08-11,8
223,2019-08-12,9
224,2019-08-13,12
225,2019-08-14,8
226,2019-08-15,8
227,2019-08-16,10
228,2019-08-17,8
229,2019-08-18,10
230,2019-08-19,9
231,2019-08-20,9
232,2019-08-21,9
233,2019-08-22,9
234,2019-08-23,14
235,2019-08-24,10
236,2019-08-25,7
237,2019-08-26,9
238,2019-08-27,9
239,2019-08-28,8
240,2019-08-29,10
241,2019-08-30,12
242,2019-08-31,10
243,2019-09-01,13
244,2019-09-02,8
245,2019-09-03,11
246,2019-09-04,8
247,2019-09-05,11
248,2019-09-06,12
249,2019-09-07,9
250,2019-09-08,9
251,2019-09-09,10
252,2019-09-10,10
253,2019-09-11,7
254,2019-09-12,7
255,2019-09-13,9
256,2019-09-14,23
257,2019-09-15,10
258,2019-09-16,8
259,2019-09-17,9
260,2019-09-18,8
261,2019-09-19,10
262,2019-09-20,13
263,2019-09-21,9
264,2019-09-22,11
265,2019-09-23,9
266,2019-09-24,11
267,2019-09-25,10
268,2019-09-26,11
269,2019-09-27,8
270,2019-09-28,14
271,2019-09-29,7
272,2019-09-30,8
273,2019-10-01,9
274,2019-10-02,6
275,2019-10-03,9
276,2019-10-04,8
277,2019-10-05,9
278,2019-10-06,10
279,2019-10-07,13
280,2019-10-08,12
281,2019-10-09,9
282,2019-10-10,11
283,2019-10-11,11
284,2019-10-12,10
285,2019-10-13,9
286,2019-10-14,10
287,2019-10-15,11
288,2019-10-16,8
289,2019-10-17,10
290,2019-10-18,8
291,2019-10-19,12
292,2019-10-20,9
293,2019-10-21,11
294,2019-10-22,11
295,2019-10-23,9
296,2019-10-24,10
297,2019-10-25,17
298,2019-10-26,12
299,2019-10-27,11
300,2019-10-28,9
301,2019-10-29,10
302,2019-10-30,8
303,2019-10-31,9
304,2019-11-01,10
305,2019-11-02,9
306,2019-11-03,10
307,2019-11-04,8
308,2019-11-05,12
309,2019-11-06,10
310,2019-11-07,11
311,2019-11-08,9
312,2019-11-09,8
313,2019-11-10,8
314,2019-11-11,8
315,2019-11-12,9
316,2019-11-13,8
317,2019-11-14,8
318,2019-11-15,9
319,2019-11-16,9
320,2019-11-17,8
321,2019-11-18,8
322,2019-11-19,10
323,2019-11-20,9
324,2019-11-21,8
325,2019-11-22,8
326,2019-11-23,9
327,2019-11-24,7
328,2019-11-25,11
329,2019-11-26,13
330,2019-11-27,8
331,2019-11-28,9
332,2019-11-29,10
333,2019-11-30,9
334,2019-12-01,9
